,city_name,temperature,humidity,wind_speed,cloudiness,latitude,longtitude
452,Axim,298.43,88,3.18,63,4.8699,-2.2405
453,Pauini,295.95,92,2.58,98,-7.7136,-66.9764
454,Laguna,305.76,16,2.6,1,38.421,-121.4238
455,Necochea,288.71,70,1.34,72,-38.5473,-58.7368
456,Medeiros Neto,294.7,82,4.72,100,-17.3739,-40.2206
457,Chazuta,300.88,61,0.37,60,-6.5742,-76.1367
458,Coyhaique,278.15,60,3.1,75,-45.5752,-72.0662
459,Vilhena,295.38,88,0.96,95,-12.7406,-60.1458
460,Alta Floresta,297.03,80,1.52,94,-9.8756,-56.0861
461,Paraná,301.72,54,4.78,9,-31.732,-60.5238
462,General Pico,297.2,66,7.97,25,-35.6566,-63.7568
463,Ipameri,293.21,92,2.55,60,-17.7219,-48.1597
464,Altamira,302.53,51,1.33,70,-3.2033,-52.2064
465,Ovalle,291.92,31,1.85,0,-30.5983,-71.2003
466,Salinas,296.72,53,7.2,1,36.6777,-121.6555
467,Iquique,291.15,63,4.1,75,-20.2208,-70.1431
468,Talara,291.57,84,6.59,52,-4.5772,-81.2719
469,Comodoro Rivadavia,289.15,26,13.9,20,-45.8667,-67.5
470,Buritis,298.31,65,2.38,77,-15.6178,-46.4233
471,Montes Altos,302.44,42,2.2,75,-5.8333,-47.0667
472,Taltal,287.93,75,1.95,22,-25.4,-70.4833
473,Rocha,294.48,90,2.63,4,-34.4833,-54.3333
474,Itupiranga,300.09,68,1.38,60,-5.1347,-49.3267
